component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
207	7.337199	7.028615	0.038568	0.098685	0.000000	0.000000	0.000000	0.000000	5351	-2.408267	0.020122	1111		ignored	I008
208	7.337051	6.829917	0.034951	0.092211	0.000000	0.000000	0.000000	0.000000	5333	-1.850478	0.070170	1066		ignored	I008
209	7.336250	7.290685	0.035820	0.092801	0.000000	0.000000	0.000000	0.000000	5280	-2.491180	0.014224	1014		ignored	I008
210	7.335023	7.740623	0.038232	0.097488	0.000000	51.000000	0.000000	0.000000	5441	0.000000	0.000000	1082		rejected	I002
211	7.334580	7.063181	0.041104	0.101522	46.000000	0.000000	0.000000	0.000000	5361	0.000000	0.000000	872		ignored	I008
212	7.332620	6.969486	0.038744	0.099465	0.000000	0.000000	0.000000	0.000000	5393	0.000000	0.000000	1027		ignored	I008
213	7.331089	6.855680	0.038206	0.096706	0.000000	0.000000	0.000000	0.000000	5369	0.000000	0.000000	986		ignored	I008
214	7.330726	7.325504	0.037566	0.095671	0.000000	0.000000	0.000000	0.000000	5403	0.000000	0.000000	1034		ignored	I008
215	7.330378	6.920506	0.038079	0.098779	46.000000	0.000000	0.000000	0.000000	5432	0.000000	0.000000	967		ignored	I008
216	7.329878	6.803738	0.037872	0.097928	0.000000	0.000000	0.000000	0.000000	5356	0.000000	0.000000	959		ignored	I008
217	7.329001	7.040992	0.036516	0.094690	0.000000	0.000000	0.000000	0.000000	5354	-0.825617	0.412710	1087		ignored	I008
218	7.322816	7.346855	0.040298	0.104477	0.000000	117.000000	0.000000	0.000000	5351	0.000000	0.000000	942		rejected	I002
219	7.322644	7.170744	0.037357	0.094265	0.000000	0.000000	0.000000	0.000000	5368	0.000000	0.000000	973		ignored	I008
220	7.322318	7.662188	0.041030	0.100689	0.000000	0.000000	0.000000	0.000000	5305	0.000000	0.000000	869		rejected	I002
221	7.320642	7.075181	0.039902	0.101323	0.000000	0.000000	0.000000	0.000000	5346	0.000000	0.000000	927		ignored	I008
222	7.320611	7.014026	0.037571	0.095663	0.000000	0.000000	0.000000	0.000000	5392	0.000000	0.000000	1005		ignored	I008
223	7.320025	7.136970	0.041596	0.102888	0.000000	0.000000	0.000000	0.000000	5429	0.000000	0.000000	1049		ignored	I008
224	7.319008	7.585927	0.036482	0.093470	0.000000	0.000000	0.000000	0.000000	5314	-4.878605	0.000012	1064		rejected	I002
225	7.318804	7.544030	0.054444	0.124762	0.000000	0.000000	0.000000	0.000000	5288	0.000000	0.000000	838		rejected	I002
226	7.315512	7.093055	0.040537	0.099829	0.000000	230.000000	0.000000	0.000000	5338	-1.372587	0.175985	1050		rejected	I005
227	7.314711	7.458890	0.037346	0.096443	0.000000	0.000000	0.000000	0.000000	5362	0.000000	0.000000	949		rejected	I002
228	7.314428	7.116657	0.037680	0.095240	0.000000	0.000000	0.000000	0.000000	5382	0.000000	0.000000	974		ignored	I008
229	7.312855	6.717560	0.041877	0.106943	0.000000	0.000000	0.000000	0.000000	5335	0.000000	0.000000	890		ignored	I008
230	7.310046	7.390537	0.038246	0.100503	0.000000	0.000000	0.000000	0.000000	5401	0.000000	0.000000	1003		rejected	I002
231	7.307897	7.083307	0.035873	0.090886	0.000000	0.000000	0.000000	0.000000	5358	0.000000	0.000000	935		ignored	I008
232	7.304954	7.032998	0.034395	0.090440	66.000000	0.000000	0.000000	0.000000	5335	-3.194146	0.002205	947		ignored	I008
233	7.304556	7.087222	0.040145	0.098289	0.000000	0.000000	0.000000	0.000000	5371	0.000000	0.000000	954		ignored	I008
234	7.303239	7.215358	0.041602	0.103341	83.000000	101.000000	0.000000	0.000000	5311	0.000000	0.000000	724		rejected	I003
235	7.302955	7.131214	0.035720	0.094819	0.000000	0.000000	0.000000	0.000000	5381	0.000000	0.000000	960		ignored	I008
236	7.302404	7.143157	0.034833	0.094109	0.000000	0.000000	0.000000	0.000000	5408	0.000000	0.000000	1008		ignored	I008
237	7.297420	8.161147	0.043657	0.107139	0.000000	56.000000	0.000000	0.000000	5340	1.585455	0.119614	804		rejected	I002
238	7.295630	7.228652	0.038183	0.096980	0.000000	0.000000	0.000000	0.000000	5264	-2.448786	0.017122	979		ignored	I008
239	7.295446	7.323425	0.042835	0.104865	101.000000	50.000000	0.000000	0.000000	5457	0.000000	0.000000	905		rejected	I002
240	7.295171	7.338778	0.036670	0.092489	64.000000	0.000000	0.000000	0.000000	5437	0.000000	0.000000	916		rejected	I002
241	7.294282	7.444004	0.035580	0.092422	0.000000	0.000000	0.000000	0.000000	5296	-2.183618	0.034134	998		rejected	I002
242	7.294148	6.985329	0.039770	0.099200	101.000000	0.000000	0.000000	0.000000	5343	0.000000	0.000000	752		ignored	I008
243	7.292513	7.268086	0.038455	0.096225	0.000000	0.000000	0.000000	0.000000	5326	0.249378	0.803901	793		ignored	I008
244	7.288804	7.218425	0.035824	0.091390	46.000000	0.000000	0.000000	0.000000	5301	0.000000	0.000000	749		ignored	I008
245	7.287700	7.360363	0.050697	0.117383	0.000000	50.000000	0.000000	0.000000	5307	0.000000	0.000000	835		rejected	I002
246	7.285494	6.927651	0.038344	0.098436	0.000000	0.000000	0.000000	0.000000	5359	0.000000	0.000000	918		ignored	I008
247	7.285274	7.745438	0.042479	0.104606	0.000000	0.000000	0.000000	0.000000	5269	0.000000	0.000000	793		rejected	I002
248	7.285070	7.116754	0.038043	0.095709	0.000000	0.000000	0.000000	0.000000	5406	0.000000	0.000000	988		ignored	I008
249	7.280566	6.963989	0.038263	0.095339	72.000000	0.000000	0.000000	0.000000	5257	-4.428177	0.000022	870		ignored	I008
250	7.278418	6.735716	0.039995	0.096741	56.000000	0.000000	0.000000	0.000000	5403	0.000000	0.000000	881		ignored	I008
251	7.278188	7.473510	0.039430	0.099079	0.000000	0.000000	0.000000	0.000000	5383	0.000000	0.000000	944		rejected	I002
252	7.272457	7.395865	0.038072	0.095288	0.000000	0.000000	0.000000	0.000000	5405	0.000000	0.000000	981		rejected	I002
253	7.271795	6.921000	0.036848	0.095792	0.000000	0.000000	0.000000	0.000000	5420	0.000000	0.000000	994		ignored	I008
254	7.269318	7.500518	0.036974	0.096833	0.000000	0.000000	0.000000	0.000000	5305	1.194820	0.238330	749		rejected	I002
255	7.267818	7.228280	0.039551	0.100108	0.000000	0.000000	0.000000	0.000000	5393	0.000000	0.000000	961		ignored	I008
256	7.264315	6.889106	0.039614	0.098648	0.000000	0.000000	0.000000	0.000000	5436	0.000000	0.000000	1006		ignored	I008
257	7.262874	7.211168	0.036110	0.094056	0.000000	0.000000	0.000000	0.000000	5386	0.000000	0.000000	942		ignored	I008
258	7.255366	7.066130	0.039482	0.101948	0.000000	0.000000	0.000000	0.000000	5398	0.000000	0.000000	961		ignored	I008
259	7.253774	6.820768	0.035644	0.094448	0.000000	0.000000	0.000000	0.000000	5449	0.000000	0.000000	1009		ignored	I008
260	7.250380	7.254862	0.038871	0.096860	117.000000	0.000000	0.000000	0.000000	5408	0.000000	0.000000	844		rejected	I002
261	7.244907	7.106367	0.042726	0.103739	118.000000	0.000000	0.000000	0.000000	5407	0.000000	0.000000	840		ignored	I008
262	7.242931	6.982544	0.035380	0.093818	0.000000	0.000000	0.000000	0.000000	5425	0.000000	0.000000	984		ignored	I008
263	7.242028	7.002750	0.038347	0.097281	0.000000	55.000000	0.000000	0.000000	5420	0.000000	0.000000	978		ignored	I008
264	7.234934	7.108945	0.038545	0.096988	0.000000	0.000000	0.000000	0.000000	5339	-1.568631	0.121469	1029		ignored	I008
265	7.232545	6.945517	0.039978	0.100624	0.000000	0.000000	0.000000	0.000000	5369	-1.437654	0.156287	1084		rejected	I005
266	7.231146	7.208978	0.040266	0.100093	0.000000	0.000000	0.000000	0.000000	5395	-0.559583	0.577659	1109		rejected	I005
267	7.229918	6.724654	0.037274	0.096255	0.000000	0.000000	0.000000	0.000000	5209	-2.758710	0.008257	949		ignored	I008
268	7.227081	7.076427	0.039554	0.096132	0.000000	0.000000	0.000000	0.000000	5312	0.000000	0.000000	807		ignored	I008
269	7.226738	6.984666	0.041022	0.100007	96.000000	68.000000	0.000000	0.000000	5354	-0.800560	0.427477	938		rejected	I005
270	7.221492	6.926632	0.034569	0.092316	0.000000	0.000000	0.000000	0.000000	5431	0.000000	0.000000	983		ignored	I008
271	7.219312	6.878269	0.039945	0.099322	0.000000	0.000000	0.000000	0.000000	5365	-1.623497	0.110673	1078		rejected	I005
272	7.217315	7.545224	0.036311	0.096426	0.000000	0.000000	0.000000	0.000000	5406	0.000000	0.000000	954		rejected	I002
273	7.213643	7.370978	0.037887	0.096534	0.000000	0.000000	0.000000	0.000000	5392	0.000000	0.000000	930		rejected	I002
274	7.211053	6.934599	0.034417	0.089875	0.000000	0.000000	0.000000	0.000000	5494	0.000000	0.000000	996		ignored	I008
275	7.206829	7.206244	0.039783	0.098971	74.000000	0.000000	0.000000	0.000000	5436	0.000000	0.000000	882		ignored	I008
276	7.204855	7.254806	0.035275	0.092835	0.000000	0.000000	0.000000	0.000000	5447	0.000000	0.000000	983		rejected	I002
277	7.201675	6.855440	0.038511	0.097690	0.000000	0.000000	0.000000	0.000000	5366	0.000000	0.000000	883		ignored	I008
278	7.201374	7.195891	0.038641	0.099472	0.000000	0.000000	0.000000	0.000000	5384	0.000000	0.000000	903		ignored	I008
279	7.199401	6.952463	0.034691	0.092220	0.000000	0.000000	0.000000	0.000000	5381	0.000000	0.000000	895		ignored	I008
280	7.195327	6.927760	0.037436	0.098841	0.000000	0.000000	0.000000	0.000000	5302	-1.307235	0.195072	959		ignored	I008
281	7.194236	7.321754	0.034950	0.092704	0.000000	50.000000	0.000000	0.000000	5352	0.000000	0.000000	851		rejected	I002
282	7.185855	7.372790	0.035255	0.093313	0.000000	0.000000	0.000000	0.000000	5415	0.000000	0.000000	943		rejected	I002
283	7.185401	6.959716	0.037832	0.096532	0.000000	0.000000	0.000000	0.000000	5287	-1.148443	0.253152	934		ignored	I008
284	7.184240	6.673233	0.038084	0.096498	47.000000	0.000000	0.000000	0.000000	5395	0.000000	0.000000	871		ignored	I008
285	7.182591	7.147287	0.036904	0.095020	0.000000	0.000000	0.000000	0.000000	5363	0.000000	0.000000	864		ignored	I008
286	7.177363	7.497935	0.038722	0.099586	48.000000	0.000000	0.000000	0.000000	5337	0.000000	0.000000	758		rejected	I002
287	7.174385	7.699130	0.042689	0.101446	0.000000	0.000000	0.000000	0.000000	5295	-0.826389	0.412274	939		rejected	I002;I005
288	7.174170	7.319124	0.038449	0.097289	143.000000	0.000000	0.000000	0.000000	5489	0.000000	0.000000	860		rejected	I002
289	7.168134	6.975598	0.034369	0.093172	0.000000	0.000000	0.000000	0.000000	5541	0.000000	0.000000	975		ignored	I008
290	7.168034	7.328550	0.038869	0.097859	0.000000	0.000000	0.000000	0.000000	5301	-1.840060	0.070516	960		rejected	I002
291	7.162757	6.616343	0.037849	0.094353	48.000000	0.000000	0.000000	0.000000	5306	-0.704037	0.484434	897		ignored	I008
292	7.161935	6.954467	0.036369	0.094828	0.000000	0.000000	0.000000	0.000000	5447	0.000000	0.000000	961		ignored	I008
293	7.157906	6.976892	0.037534	0.097391	0.000000	0.000000	0.000000	0.000000	5372	-1.056033	0.296468	1059		ignored	I008
294	7.153061	6.869669	0.036919	0.096268	0.000000	0.000000	0.000000	0.000000	5295	-0.010609	0.991569	915		ignored	I008
295	7.148995	6.962413	0.037420	0.096676	0.000000	0.000000	0.000000	0.000000	5402	0.000000	0.000000	911		ignored	I008
296	7.147710	6.922004	0.040872	0.104019	0.000000	49.000000	0.000000	0.000000	5326	-3.292265	0.001633	1011		rejected	I005
297	7.133780	6.943672	0.037649	0.095844	0.000000	0.000000	0.000000	0.000000	5457	0.000000	0.000000	958		ignored	I008
298	7.131100	7.152198	0.039741	0.102175	0.000000	0.000000	0.000000	0.000000	5419	0.000000	0.000000	925		rejected	I002
299	7.124766	6.814264	0.035715	0.095181	47.000000	46.000000	0.000000	0.000000	5403	0.000000	0.000000	869		ignored	I008
300	7.117734	6.908085	0.033964	0.089932	0.000000	0.000000	0.000000	0.000000	5452	0.000000	0.000000	951		ignored	I008
301	7.115823	7.006642	0.041305	0.103500	50.000000	0.000000	0.000000	0.000000	5374	0.000000	0.000000	813		ignored	I008
302	7.096535	7.350889	0.035005	0.094645	0.000000	0.000000	0.000000	0.000000	5326	-0.210436	0.834009	953		rejected	I002
303	7.091784	7.049863	0.038444	0.097554	0.000000	0.000000	0.000000	0.000000	5358	0.000000	0.000000	832		ignored	I008
304	7.085578	6.981310	0.034870	0.091158	0.000000	0.000000	0.000000	0.000000	5325	-0.233066	0.816709	949		ignored	I008
305	7.084048	6.985121	0.043511	0.103440	0.000000	0.000000	0.000000	0.000000	5331	0.000000	0.000000	771		ignored	I008
306	7.080133	7.027617	0.037127	0.095262	0.000000	0.000000	0.000000	0.000000	5441	0.000000	0.000000	937		ignored	I008
307	7.071502	7.023031	0.035948	0.095710	0.000000	0.000000	0.000000	0.000000	5429	0.000000	0.000000	925		ignored	I008
308	7.066245	7.221961	0.036201	0.094204	0.000000	0.000000	0.000000	0.000000	5483	0.000000	0.000000	943		rejected	I002
309	7.057547	6.533163	0.036559	0.095282	0.000000	0.000000	0.000000	0.000000	5392	0.000000	0.000000	876		ignored	I008
310	7.053122	7.509467	0.036646	0.094800	0.000000	0.000000	0.000000	0.000000	5388	0.123037	0.902525	849		rejected	I002
311	7.042934	6.942504	0.037353	0.093793	47.000000	0.000000	0.000000	0.000000	5385	0.000000	0.000000	829		ignored	I008
312	7.041445	7.170898	0.038719	0.095474	0.000000	0.000000	0.000000	0.000000	5351	0.000000	0.000000	800		rejected	I002
313	7.033510	7.108942	0.037495	0.097481	0.000000	0.000000	0.000000	0.000000	5294	-0.173770	0.862574	898		rejected	I002
314	7.030275	7.405823	0.038374	0.097503	0.000000	0.000000	0.000000	0.000000	5425	0.000000	0.000000	908		rejected	I002
315	7.024335	6.992347	0.036458	0.097695	0.000000	0.000000	0.000000	0.000000	5381	0.000000	0.000000	843		ignored	I008
316	7.010432	7.012281	0.033406	0.089930	0.000000	0.000000	0.000000	0.000000	5382	0.000000	0.000000	843		rejected	I002
317	6.987582	6.897398	0.037506	0.100806	0.000000	0.000000	0.000000	0.000000	5351	1.161017	0.251639	769		ignored	I008
318	6.960905	6.987397	0.038768	0.098275	0.000000	0.000000	0.000000	0.000000	5314	0.000000	0.000000	735		rejected	I002
319	6.959446	7.386878	0.037721	0.099553	0.000000	0.000000	0.000000	0.000000	5424	0.000000	0.000000	896		rejected	I002
320	6.916885	7.304344	0.037814	0.096555	0.000000	0.000000	0.000000	0.000000	5401	0.000000	0.000000	869		rejected	I002
321	6.909271	7.115205	0.038953	0.096795	0.000000	0.000000	0.000000	0.000000	5312	0.000000	0.000000	726		rejected	I002
322	6.908603	6.641062	0.035943	0.093531	0.000000	0.000000	0.000000	0.000000	5426	0.000000	0.000000	895		ignored	I008
323	6.902253	6.869829	0.034499	0.091349	0.000000	0.000000	0.000000	0.000000	5406	0.000000	0.000000	874		ignored	I008
324	6.896604	7.096217	0.035483	0.093767	0.000000	0.000000	0.000000	0.000000	5336	-0.498525	0.620464	949		rejected	I002
325	6.869992	6.924071	0.037766	0.096119	0.000000	0.000000	0.000000	0.000000	5311	0.714413	0.477176	706		rejected	I002
326	6.854877	7.451688	0.033185	0.089472	0.000000	0.000000	0.000000	0.000000	5426	0.000000	0.000000	890		rejected	I002
327	6.798918	7.252971	0.036281	0.095591	0.000000	0.000000	0.000000	0.000000	5438	0.000000	0.000000	899		rejected	I002
328	6.751302	7.313408	0.040370	0.101263	0.000000	0.000000	0.000000	0.000000	5394	-1.161557	0.250814	1067		rejected	I002;I005
