component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
48	11.745119	12.876165	0.162781	0.250099	170.000000	432.000000	0.000000	0.000000	3807	1.834197	0.067254	511		rejected	I002;I003
49	11.266051	21.619502	0.089372	0.135812	426.000000	949.000000	0.448630	0.446166	3870	16.851911	0.000000	185		rejected	I002;I003
50	11.227628	16.038952	0.313978	0.390274	694.000000	1171.000000	0.000000	0.107717	3805	-0.604557	0.545870	723		rejected	I002;I003;I004;I005
51	10.870308	16.761226	0.301873	0.396270	637.000000	916.000000	0.000000	0.000000	3546	-9.738090	0.000000	779		rejected	I002;I003;I005
52	10.666448	34.485089	0.106738	0.172298	605.000000	1210.000000	0.264828	0.282517	3347	11.215130	0.000000	186		rejected	I002;I003;I004
53	10.171511	12.941329	0.147640	0.247610	46.000000	347.000000	0.000000	0.000000	3677	-0.531223	0.595508	820		rejected	I002;I003;I005
54	9.412549	13.664456	0.151302	0.244879	256.000000	1023.000000	0.000000	0.000000	4133	2.522289	0.011917	510		rejected	I002;I003
55	9.118992	7.572433	0.069661	0.121948	816.000000	0.000000	0.121699	0.000000	5141	0.000000	0.000000	455	130.000000	accepted	
56	8.502712	9.167808	0.184940	0.229729	194.000000	382.000000	0.000000	0.000000	3805	-7.546727	0.000000	798		rejected	I002;I003;I005
57	8.432376	7.528400	0.075367	0.143286	162.000000	309.000000	0.000000	0.000000	5138	-3.342280	0.001523	818		rejected	I003;I005
58	8.419266	11.238270	0.081453	0.154544	159.000000	259.000000	0.000000	0.000000	5078	0.000000	0.000000	749		rejected	I002;I003
59	8.398102	7.224945	0.063155	0.122195	886.000000	250.000000	0.333056	0.226415	5224	0.000000	0.000000	448	125.000000	accepted	
60	8.331097	8.977421	0.237756	0.274904	117.000000	367.000000	0.000000	0.000000	3295	-11.621812	0.000000	809		rejected	I002;I003;I005
61	8.221380	7.425005	0.040172	0.100306	0.000000	0.000000	0.000000	0.000000	5301	-0.501550	0.617779	1074		rejected	I005
62	8.106045	7.170419	0.061571	0.140497	143.000000	0.000000	0.000000	0.000000	5239	2.319499	0.024757	555	134.000000	accepted	
63	8.093950	7.674152	0.069726	0.150009	452.000000	138.000000	0.000000	0.000000	5342	0.000000	0.000000	841	137.000000	accepted	
64	8.080265	7.568028	0.045375	0.104239	165.000000	93.000000	0.000000	0.000000	5273	-2.801901	0.007107	832		rejected	I005
65	8.050203	7.430852	0.041693	0.100385	46.000000	0.000000	0.000000	0.000000	5332	0.000000	0.000000	915		ignored	I008
66	7.957190	7.396055	0.045054	0.110552	167.000000	52.000000	0.000000	0.000000	5373	0.000000	0.000000	910		ignored	I008
67	7.957118	7.113906	0.045437	0.100470	300.000000	0.000000	0.000000	0.000000	5332	0.000000	0.000000	821		ignored	I008
68	7.925732	7.198530	0.042609	0.101794	0.000000	0.000000	0.000000	0.000000	5310	0.000000	0.000000	1065		ignored	I008
69	7.898913	7.198938	0.038395	0.095554	58.000000	0.000000	0.000000	0.000000	5303	-2.816595	0.006848	914		ignored	I008
70	7.876104	7.242547	0.040816	0.101111	0.000000	0.000000	0.000000	0.000000	5341	-3.283046	0.001798	1179		rejected	I005
71	7.861851	7.220080	0.036673	0.093960	0.000000	0.000000	0.000000	0.000000	5352	0.000000	0.000000	1129		ignored	I008
72	7.848874	7.198986	0.046079	0.108588	0.000000	0.000000	0.000000	0.000000	5322	0.000000	0.000000	1076		ignored	I008
73	7.845353	6.946445	0.045030	0.106730	277.000000	49.000000	0.000000	0.000000	5309	0.000000	0.000000	791		ignored	I008
74	7.844487	7.018075	0.036713	0.094832	0.000000	0.000000	0.000000	0.000000	5386	-3.322432	0.001687	1258		ignored	I008
75	7.838123	7.228486	0.038628	0.093838	52.000000	0.000000	0.000000	0.000000	5334	0.000000	0.000000	892		ignored	I008
76	7.837114	7.430535	0.037890	0.098312	0.000000	0.000000	0.000000	0.000000	5414	0.000000	0.000000	1219		ignored	I008
77	7.789093	7.386481	0.042006	0.104931	48.000000	0.000000	0.000000	0.000000	5311	0.000000	0.000000	870		ignored	I008
78	7.786151	7.023508	0.039043	0.095788	64.000000	0.000000	0.000000	0.000000	5221	-2.440962	0.017494	851		ignored	I008
79	7.782109	7.130559	0.041861	0.104153	0.000000	0.000000	0.000000	0.000000	5405	0.000000	0.000000	1206		ignored	I008
80	7.780120	7.756840	0.048447	0.113104	98.000000	0.000000	0.000000	0.000000	5281	0.000000	0.000000	788		ignored	I008
81	7.779031	7.246779	0.044182	0.105111	77.000000	0.000000	0.000000	0.000000	5283	0.000000	0.000000	797		ignored	I008
82	7.751818	7.085989	0.038102	0.094290	0.000000	0.000000	0.000000	0.000000	5285	0.000000	0.000000	1018		ignored	I008
83	7.749023	7.302024	0.038414	0.098106	0.000000	0.000000	0.000000	0.000000	5349	0.000000	0.000000	1105		ignored	I008
84	7.736636	6.863843	0.036779	0.092970	0.000000	0.000000	0.000000	0.000000	5351	0.000000	0.000000	1105		ignored	I008
85	7.734078	7.238675	0.040101	0.097769	98.000000	0.000000	0.000000	0.000000	5372	0.000000	0.000000	919		ignored	I008
86	7.732831	7.175504	0.035818	0.093309	0.000000	0.000000	0.000000	0.000000	5264	-2.021831	0.048199	1059		ignored	I008
87	7.732182	7.699113	0.043939	0.107680	0.000000	0.000000	0.000000	0.000000	5186	-1.561756	0.120574	1039		rejected	I005
88	7.712865	7.303509	0.045524	0.106242	110.000000	59.000000	0.000000	0.000000	5295	0.900386	0.372529	607		ignored	I008
89	7.712247	7.182907	0.044879	0.110738	180.000000	0.000000	0.000000	0.000000	5289	0.000000	0.000000	760		ignored	I008
90	7.705931	7.087503	0.041439	0.097762	161.000000	0.000000	0.000000	0.000000	5333	0.000000	0.000000	820		ignored	I008
91	7.701471	7.321609	0.035950	0.094503	0.000000	0.000000	0.000000	0.000000	5363	0.000000	0.000000	1125		ignored	I008
92	7.697861	7.111260	0.038241	0.096895	0.000000	0.000000	0.000000	0.000000	5277	-2.270986	0.027805	1069		ignored	I008
93	7.688578	7.159964	0.039895	0.097126	0.000000	0.000000	0.000000	0.000000	5410	0.000000	0.000000	1197		ignored	I008
94	7.685753	7.488705	0.038647	0.098910	54.000000	0.000000	0.000000	0.000000	5394	0.000000	0.000000	985		ignored	I008
95	7.683688	6.907817	0.041377	0.102285	132.000000	99.000000	0.000000	0.000000	5348	0.000000	0.000000	852		ignored	I008
96	7.678119	7.552736	0.038541	0.097050	50.000000	0.000000	0.000000	0.000000	5293	-2.645634	0.010803	910		ignored	I008
97	7.665512	8.102945	0.046984	0.108609	60.000000	142.000000	0.000000	0.000000	5332	0.000000	0.000000	858		rejected	I002;I003
98	7.656299	7.290837	0.040683	0.102109	0.000000	0.000000	0.000000	0.000000	5384	0.000000	0.000000	1146		ignored	I008
99	7.653794	7.158732	0.049087	0.108935	348.000000	83.000000	0.000000	0.000000	5224	-1.478775	0.144300	780		rejected	I005
100	7.651171	7.126218	0.040502	0.101182	0.000000	0.000000	0.000000	0.000000	5364	-0.170208	0.865582	1154		rejected	I005
101	7.647630	6.865662	0.035577	0.094586	0.000000	0.000000	0.000000	0.000000	5386	-3.322346	0.001245	1245		ignored	I008
102	7.644644	7.046799	0.036730	0.093644	0.000000	0.000000	0.000000	0.000000	5357	0.000000	0.000000	1104		ignored	I008
103	7.633800	7.345827	0.045903	0.103844	0.000000	0.000000	0.000000	0.000000	5342	0.000000	0.000000	1070		ignored	I008
104	7.631953	6.921847	0.040000	0.098349	0.000000	0.000000	0.000000	0.000000	5393	0.000000	0.000000	1159		ignored	I008
105	7.631338	7.241041	0.039960	0.100301	0.000000	0.000000	0.000000	0.000000	5262	0.000000	0.000000	972		ignored	I008
106	7.626238	7.115048	0.038265	0.100170	47.000000	0.000000	0.000000	0.000000	5388	0.000000	0.000000	980		ignored	I008
107	7.623662	6.830512	0.039306	0.097672	63.000000	0.000000	0.000000	0.000000	5315	0.000000	0.000000	832		ignored	I008
108	7.623341	7.477030	0.037478	0.095864	0.000000	0.000000	0.000000	0.000000	5267	0.000000	0.000000	973		ignored	I008
109	7.623084	7.097432	0.034788	0.094185	0.000000	0.000000	0.000000	0.000000	5354	0.000000	0.000000	1086		ignored	I008
110	7.607093	7.114592	0.049943	0.114976	94.000000	130.000000	0.000000	0.000000	5238	0.000000	0.000000	751		rejected	I003
111	7.606347	7.098501	0.039604	0.098012	58.000000	0.000000	0.000000	0.000000	5330	0.000000	0.000000	846		ignored	I008
112	7.597631	7.087755	0.037879	0.097585	62.000000	0.000000	0.000000	0.000000	5340	0.026943	0.978615	708		ignored	I008
113	7.591220	6.809768	0.044734	0.106788	72.000000	0.000000	0.000000	0.000000	5272	0.000000	0.000000	771		ignored	I008
114	7.586090	7.443231	0.039397	0.100769	134.000000	53.000000	0.000000	0.000000	5234	-2.055963	0.042307	811		ignored	I008
115	7.584095	6.850967	0.039156	0.097848	0.000000	0.000000	0.000000	0.000000	5385	0.000000	0.000000	1127		ignored	I008
116	7.583056	7.332712	0.040202	0.097253	0.000000	0.000000	0.000000	0.000000	5318	-3.998973	0.000177	1130		rejected	I005
117	7.581399	6.739955	0.042091	0.103109	54.000000	0.000000	0.000000	0.000000	5345	0.000000	0.000000	877		ignored	I008
118	7.578889	7.448310	0.044935	0.109379	58.000000	0.000000	0.000000	0.000000	5300	1.244414	0.217540	638		ignored	I008
119	7.573624	7.182285	0.046126	0.110401	74.000000	0.000000	0.000000	0.000000	5314	-0.548090	0.586016	870		rejected	I005
120	7.573452	6.899358	0.039918	0.101067	0.000000	0.000000	0.000000	0.000000	5281	0.908056	0.368466	811		ignored	I008
121	7.568445	7.417370	0.037918	0.096493	108.000000	60.000000	0.000000	0.000000	5348	-0.193035	0.847266	895		ignored	I008
122	7.566696	7.243395	0.041966	0.103411	51.000000	0.000000	0.000000	0.000000	5340	0.000000	0.000000	873		ignored	I008
123	7.565635	7.305126	0.036488	0.095376	0.000000	0.000000	0.000000	0.000000	5296	-0.781898	0.437876	1051		ignored	I008
124	7.565087	7.214950	0.041370	0.099245	0.000000	0.000000	0.000000	0.000000	5390	0.000000	0.000000	1131		ignored	I008
125	7.561686	7.289429	0.042726	0.098952	61.000000	0.000000	0.000000	0.000000	5282	0.000000	0.000000	781		ignored	I008
126	7.557731	7.060101	0.041743	0.105412	0.000000	0.000000	0.000000	0.000000	5261	-0.681961	0.498431	1015		rejected	I005
127	7.555511	7.154338	0.035192	0.092024	99.000000	0.000000	0.000000	0.000000	5354	0.076925	0.938997	719		ignored	I008
128	7.555132	7.240841	0.043453	0.103217	0.000000	0.000000	0.000000	0.000000	5356	0.000000	0.000000	1074		ignored	I008
129	7.550137	7.596193	0.045919	0.105555	138.000000	65.000000	0.000000	0.000000	5295	-2.343752	0.022968	850		rejected	I002;I005
130	7.546760	6.976084	0.042416	0.110575	0.000000	0.000000	0.000000	0.000000	5320	2.152589	0.035663	844		ignored	I008
131	7.545225	7.630645	0.044856	0.107405	0.000000	0.000000	0.000000	0.000000	5265	0.000000	0.000000	951		rejected	I002
132	7.544419	7.092606	0.038141	0.096704	55.000000	51.000000	0.000000	0.000000	5434	0.000000	0.000000	1005		ignored	I008
133	7.540617	6.934015	0.036741	0.095163	0.000000	0.000000	0.000000	0.000000	5459	0.000000	0.000000	1191		ignored	I008
134	7.540247	7.452746	0.039888	0.098390	54.000000	0.000000	0.000000	0.000000	5420	0.000000	0.000000	987		ignored	I008
135	7.529127	7.127175	0.037531	0.097162	0.000000	0.000000	0.000000	0.000000	5373	0.000000	0.000000	1094		ignored	I008
136	7.528302	7.040886	0.041846	0.104005	0.000000	0.000000	0.000000	0.000000	5257	0.000000	0.000000	936		ignored	I008
137	7.526991	6.881406	0.039819	0.098919	0.000000	0.000000	0.000000	0.000000	5418	0.000000	0.000000	1151		ignored	I008
138	7.521247	7.584261	0.039712	0.098858	59.000000	0.000000	0.000000	0.000000	5316	0.119976	0.904869	679		rejected	I002
139	7.518872	6.912499	0.037002	0.093205	0.000000	0.000000	0.000000	0.000000	5373	0.000000	0.000000	1089		ignored	I008
140	7.516379	7.112118	0.043103	0.103602	0.000000	0.000000	0.000000	0.000000	5319	0.857664	0.395529	848		ignored	I008
141	7.512777	7.391248	0.043959	0.105514	186.000000	53.000000	0.000000	0.000000	5421	0.000000	0.000000	924		ignored	I008
142	7.512501	7.267144	0.042286	0.102732	0.000000	46.000000	0.000000	0.000000	5426	0.000000	0.000000	1155		ignored	I008
143	7.512329	6.930368	0.041903	0.099263	50.000000	0.000000	0.000000	0.000000	5311	0.000000	0.000000	822		ignored	I008
144	7.511814	7.085905	0.038255	0.097765	0.000000	0.000000	0.000000	0.000000	5391	0.000000	0.000000	1106		ignored	I008
145	7.509814	7.093903	0.040415	0.098518	46.000000	98.000000	0.000000	0.000000	5369	-3.411680	0.001175	1060		rejected	I003;I005
146	7.505672	7.223618	0.041951	0.099636	72.000000	0.000000	0.000000	0.000000	5350	0.000000	0.000000	850		ignored	I008
147	7.505638	11.350022	0.071201	0.139227	159.000000	1149.000000	0.000000	0.000000	5039	-5.609323	0.000000	825		rejected	I002;I003;I005
148	7.499148	7.089000	0.040866	0.099096	105.000000	0.000000	0.000000	0.000000	5475	0.000000	0.000000	972		ignored	I008
149	7.491106	7.270868	0.040044	0.096038	53.000000	0.000000	0.000000	0.000000	5345	0.000000	0.000000	862		ignored	I008
